Enter benthic category,Avg Of Cover
BA,12.5
BC,10.2857142857143
BR,9.83333333333333
DC,15.0909090909091
GA,15.2
LC,13.3333333333333
R,19.6666666666667
S,13.625
SC,12.2857142857143
SG,28.5714285714286
